,tree_tag_u,tree_tag,code,Species,Family,date,day,buds,bud_sex,hflrs,fflrs,mflrs,sex_system,sex_of_flrs,morph,scent,fermented,fruity,spicy,sweet,unscented,rotten,reward,ob_start,ob_end,ob_time_min,obs_time_hr,ants,bees,beetles,butterflies,neo_dipt,dipt,wasps,bees_wasps,birds,cockroaches,bugs,grasshoppers,thrips,snails
1,195596,195596,ALEX,Crotogynopsis_korupensis,Euphorbiaceae,3/6/16,6,NA,,NA,NA,,dioecious,m,0,sweet,0,0,0,1,0,0,n,9:30,10:00,30,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20_ALEX,20_ALEX,ALEX,Crotogynopsis_korupensis,Euphorbiaceae,3/6/16,6,NA,,NA,NA,,dioecious,m,0,sweet,0,0,0,1,0,0,n,13:48,14:02,15,0.25,9,0,0,0,0,0,0,0,0,0,0,0,0,0
3,226660,226660,ALEX,Crotogynopsis_korupensis,Euphorbiaceae,3/6/16,6,47,,NA,NA,175,dioecious,m,0,sweet,0,0,0,1,0,0,n,13:58,14:13,15,0.25,0,1,1,0,0,0,0,1,0,0,0,0,0,0
4,226149,226149,ALEX,Crotogynopsis_korupensis,Euphorbiaceae,3/6/16,6,78,,NA,NA,564,dioecious,m,0,sweet,0,0,0,1,0,0,n,14:45,15:00,15,0.25,15,2,2,0,0,0,0,2,0,0,0,0,0,0
5,226265,226265,ALEX,Crotogynopsis_korupensis,Euphorbiaceae,3/6/16,6,NA,,NA,NA,,dioecious,,0,sweet,0,0,0,1,0,0,n,15:07,15:22,30,0.5,0,10,0,0,0,0,0,10,0,0,0,0,0,0
6,226138_2,226138,ALEX,Crotogynopsis_korupensis,Euphorbiaceae,3/7/16,7,NA,,NA,73,,dioecious,f,0,sweet,0,0,0,1,0,0,n,7:55,8:10,15,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,226138,226138,ALEX,Crotogynopsis_korupensis,Euphorbiaceae,3/6/16,6,12,,NA,73,,dioecious,f,0,sweet,0,0,0,1,0,0,n,15:09,15:24,30,0.5,0,2,0,0,0,0,0,2,0,0,0,0,0,0
8,226265_2,226265,ALEX,Crotogynopsis_korupensis,Euphorbiaceae,3/7/16,7,170,,NA,NA,680,dioecious,m,0,sweet,0,0,0,1,0,0,n,8:11,8:26,15,0.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,216135,216135,ALEX,Crotogynopsis_korupensis,Euphorbiaceae,3/10/16,10,0,,NA,NA,252,dioecious,m,0,sweet,0,0,0,1,0,0,n,11:30,12:00,30,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,216113,216113,ALEX,Crotogynopsis_korupensis,Euphorbiaceae,3/10/16,10,0,,NA,NA,120,dioecious,m,0,sweet,0,0,0,1,0,0,n,10:08,10:38,30,0.5,1,0,0,0,0,2,0,0,0,0,0,0,0,0
11,216133,216133,ALEX,Crotogynopsis_korupensis,Euphorbiaceae,3/10/16,10,0,,NA,NA,206,dioecious,m,0,sweet,0,0,0,1,0,0,n,11:30,12:00,30,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,308196,308196,ALEX,Crotogynopsis_korupensis,Euphorbiaceae,3/12/16,12,0,,NA,84,,dioecious,f,0,sweet,0,0,0,1,0,0,n,11:00,11:30,30,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3810408,3810408,ALEX,Crotogynopsis_korupensis,Euphorbiaceae,3/12/16,12,0,,NA,NA,46,dioecious,m,0,sweet,0,0,0,1,0,0,n,9:45,10:30,45,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3820056,3820056,ALEX,Crotogynopsis_korupensis,Euphorbiaceae,3/12/16,12,0,,NA,NA,237,dioecious,m,0,sweet,0,0,0,1,0,0,n,9:45,10:30,45,0.75,2,0,0,0,0,1,0,0,0,0,0,0,0,0
15,306193,306193,ALEX,Crotogynopsis_korupensis,Euphorbiaceae,3/12/16,12,55,,NA,NA,37,dioecious,m,0,sweet,0,0,0,1,0,0,n,11:00,11:30,30,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,104452,104452,ANTA,Agylocalyx_oligophyllus,Fabaceae,3/9/16,9,NA,,NA,NA,,hermaphrodite,h,1,sweet,0,0,0,1,0,0,n,11:30,12:00,30,0.5,30,0,0,0,0,0,0,0,0,0,0,0,0,0
17,261353,261353,ANTA,Agylocalyx_oligophyllus,Fabaceae,3/11/16,11,9,,2,NA,,hermaphrodite,h,1,none,0,0,0,0,1,0,n,10:35,10:50,15,0.25,2,0,0,0,0,0,0,0,0,0,0,0,0,0
18,176650,176650,ANTA,Agylocalyx_oligophyllus,Fabaceae,3/9/16,9,NA,,NA,NA,,hermaphrodite,h,1,none,0,0,0,0,1,0,n,9:47,10:58,50,0.833333333,5,0,0,0,0,1,1,1,0,0,0,0,0,0
19,185535,185535,ANTA,Agylocalyx_oligophyllus,Fabaceae,3/4/16,4,21,,1,NA,,hermaphrodite,h,1,none,0,0,0,0,1,0,n,11:09,11:24,15,0.25,2,0,0,0,0,0,0,0,0,0,0,0,0,0
20,196297,196297,ANTA,Agylocalyx_oligophyllus,Fabaceae,3/4/16,4,NA,,NA,NA,,hermaphrodite,h,1,none,0,0,0,0,1,0,n,13:45,14:00,15,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,85071,85071,ANTA,Agylocalyx_oligophyllus,Fabaceae,3/10/16,10,9,,3,NA,,hermaphrodite,h,1,none,0,0,0,0,1,0,n,13:40,14:10,30,0.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0
22,291004,291004,ANTA,Agylocalyx_oligophyllus,Fabaceae,3/11/16,11,27,,4,NA,,hermaphrodite,h,1,none,0,0,0,0,1,0,n,10:30,11:00,30,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
23,396139,396139,ANTA,Agylocalyx_oligophyllus,Fabaceae,3/12/16,12,24,,7,NA,,hermaphrodite,h,1,none,0,0,0,0,1,0,n,12:05,12:35,30,0.5,22,0,0,0,0,0,0,0,0,0,0,0,0,0
24,134031,134031,ANTA,Agylocalyx_oligophyllus,Fabaceae,3/9/16,9,NA,,NA,NA,,hermaphrodite,h,1,none,0,0,0,0,1,0,n,12:40,13:10,30,0.5,20,0,0,0,0,6,0,0,0,0,0,0,0,0
25,196441,196441,ANTA,Agylocalyx_oligophyllus,Fabaceae,3/9/16,9,NA,,NA,NA,,hermaphrodite,h,1,none,0,0,0,0,1,0,n,9:40,10:10,30,0.5,30,0,0,0,0,0,0,0,0,0,0,0,0,0
26,185342,185342,ANTA,Agylocalyx_oligophyllus,Fabaceae,3/21/16,21,30,,15,NA,,hermaphrodite,h,1,none,0,0,0,0,1,0,n,10:18,10:48,30,0.5,20,0,0,0,0,1,0,0,0,0,0,0,0,0
27,144616,144616,ANTA,Agylocalyx_oligophyllus,Fabaceae,3/9/16,9,NA,,NA,NA,,hermaphrodite,h,1,none,0,0,0,0,1,0,n,11:07,11:38,30,0.5,3,1,0,0,0,0,0,1,0,0,0,0,0,0
28,173719,173719,COAT,Cola_mamboana,Malvaceae,3/14/16,14,336,,NA,76,0,monecious,f,0,fermented,1,0,0,0,0,0,n,11:40,12:10,30,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1720071,1720071,COAT,Cola_mamboana,Malvaceae,3/14/16,14,137,,NA,0,31,monecious,m,0,fermented,1,0,0,0,0,0,n,11:00,11:30,30,0.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0
30,195293,195293,COAT,Cola_mamboana,Malvaceae,3/14/16,14,100,,NA,0,45,monecious,m,0,fermented,1,0,0,0,0,0,n,13:25,13:55,15,0.25,2,0,1,0,1,2,0,0,0,0,3,0,0,0
31,195594,195594,COAT,Cola_mamboana,Malvaceae,3/14/16,14,320,,NA,20,0,monecious,f,0,fermented,1,0,0,0,0,0,n,14:18,14:50,30,0.5,1,0,1,0,1,1,0,0,0,0,0,0,0,0
32,244967_2,244967,COAT,Cola_mamboana,Malvaceae,3/16/16,16,360,,NA,NA,,monecious,,0,fermented,1,0,0,0,0,0,n,15:10,15:25,15,0.25,0,0,4,0,0,0,0,0,0,0,1,0,0,0
33,244967,244967,COAT,Cola_mamboana,Malvaceae,3/14/16,14,360,,NA,193,131,monecious,b,0,fermented,1,0,0,0,0,0,n,13:38,14:08,45,0.75,0,3,3,0,0,5,0,3,0,0,0,0,0,0
34,280288,280288,COAT,Cola_mamboana,Malvaceae,3/15/16,15,600,,NA,336,240,monecious,b,0,fermented,1,0,0,0,0,0,n,10:15,10:45,30,0.5,0,1,1,0,0,0,0,1,0,0,0,0,0,0
35,280294,280294,COAT,Cola_mamboana,Malvaceae,3/15/16,15,4000,,NA,0,1600,monecious,m,0,fermented,1,0,0,0,0,0,n,10:22,10:52,30,0.5,0,0,1,0,0,4,0,0,0,0,0,0,0,0
36,282994,282994,COAT,Cola_mamboana,Malvaceae,3/15/16,15,732,,NA,488,0,monecious,f,0,fermented,1,0,0,0,0,0,n,14:42,15:12,30,0.5,1,0,1,0,0,5,0,0,0,0,0,0,0,0
37,283086,283086,COAT,Cola_mamboana,Malvaceae,3/15/16,15,203,,NA,85,0,monecious,f,0,fermented,1,0,0,0,0,0,n,14:45,15:15,30,0.5,20,0,2,0,0,0,0,0,0,0,0,0,0,0
38,284333,284333,COAT,Cola_mamboana,Malvaceae,3/15/16,15,1000,,NA,500,0,monecious,f,0,fermented,1,0,0,0,0,0,n,12:27,12:57,30,0.5,4,0,1,0,0,1,0,0,0,0,0,0,0,0
39,284388,284388,COAT,Cola_mamboana,Malvaceae,3/15/16,15,126,,NA,28,18,monecious,b,0,fermented,1,0,0,0,0,0,n,12:30,13:00,30,0.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0
40,284949,284949,COAT,Cola_mamboana,Malvaceae,3/15/16,15,110,,NA,97,49,monecious,b,0,fermented,1,0,0,0,0,0,n,13:25,13:55,30,0.5,3,2,7,0,3,0,0,2,0,0,0,0,0,0
41,285183,285183,COAT,Cola_mamboana,Malvaceae,3/15/16,15,960,,NA,768,0,monecious,f,0,fermented,1,0,0,0,0,0,n,13:23,13:55,30,0.5,0,0,1,0,0,2,0,0,0,0,0,0,0,0
42,161409,161409,COAT,Cola_mamboana,Malvaceae,3/16/16,16,129,,NA,85,27,monecious,b,0,fermented,1,0,0,0,0,0,n,9:35,10:05,30,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,85902,85902,COAT,Cola_mamboana,Malvaceae,3/9/16,9,NA,,NA,NA,,monecious,f,0,fermented,1,0,0,0,0,0,n,14:50,15:20,30,0.5,0,0,1,0,0,3,0,0,0,0,1,0,0,0
44,185130,185130,COAT,Cola_mamboana,Malvaceae,3/16/16,16,1400,,NA,1600,0,monecious,f,0,fermented,1,0,0,0,0,0,n,8:36,9:06,30,0.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0
45,356649,356649,COCA,Cola_micrantha,Malvaceae,3/25/16,25,810,,NA,174,74,monecious,b,0,fermented,1,0,0,0,0,0,n,16:00,16:30,30,0.5,3,0,0,0,1,3,0,0,0,0,0,0,0,0
46,381155,381155,COCA,Cola_micrantha,Malvaceae,3/29/16,29,282,,NA,0,260,monecious,m,0,fermented,1,0,0,0,0,0,n,11:57,12:57,60,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
47,235841,235841,COCA,Cola_micrantha,Malvaceae,3/30/16,30,86,,NA,14,28,monecious,b,0,fermented,1,0,0,0,0,0,n,9:15,10:15,60,1,3,0,4,0,0,2,0,0,0,0,3,0,0,0
48,254182,254182,COCA,Cola_micrantha,Malvaceae,4/2/16,33,87,,NA,95,?,monecious,b,0,fermented,1,0,0,0,0,0,n,13:45,14:00,15,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0
49,255499,255499,COCA,Cola_micrantha,Malvaceae,3/30/16,30,240,,NA,216,0,monecious,f,0,fermented,1,0,0,0,0,0,n,14:05,14:35,30,0.5,2,0,1,0,4,8,0,0,0,0,0,0,0,0
